"Protein ID";"m";"stat";"p"
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220562"";""ENSP00000220562"")";76;11,7977315689981;0,1259
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220597"";""ENSP00000220597"")";454;7,19809637120761;0,6138
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220751"";""ENSP00000220751"")";193;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220764"";""ENSP00000220764"")";203;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220812"";""ENSP00000220812"")";41;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220853"";""ENSP00000220853"")";171;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000220940"";""ENSP00000220940"")";88;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221114"";""ENSP00000221114"")";169;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221233"";""ENSP00000221233"")";109;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221399"";""ENSP00000221399"")";66;8,64003673094582;0,1475
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221403"";""ENSP00000221403"")";79;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221418"";""ENSP00000221418"")";4;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221444"";""ENSP00000221444"")";122;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221476"";""ENSP00000221476"")";102;10,1239669421488;0,1891
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221480"";""ENSP00000221480"")";159;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221486"";""ENSP00000221486"")";55;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221496"";""ENSP00000221496"")";72;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221498"";""ENSP00000221498"")";124;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221515"";""ENSP00000221515"")";40;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221538"";""ENSP00000221538"")";107;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221665"";""ENSP00000221665"")";71;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221671"";""ENSP00000221671"")";62;15,2228099173554;0,0846
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221730"";""ENSP00000221730"")";72;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221801"";""ENSP00000221801"")";63;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221804"";""ENSP00000221804"")";57;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221847"";""ENSP00000221847"")";105;8,16326530612245;0,2292
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221859"";""ENSP00000221859"")";42;10,5625;0,0864
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221957"";""ENSP00000221957"")";175;32,3489057694156;0,0997
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221973"";""ENSP00000221973"")";106;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000221980"";""ENSP00000221980"")";38;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222002"";""ENSP00000222002"")";104;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222005"";""ENSP00000222005"")";66;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222033"";""ENSP00000222033"")";65;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222120"";""ENSP00000222120"")";82;8,79429250891795;0,1686
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222219"";""ENSP00000222219"")";30;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222248"";""ENSP00000222248"")";146;46,9712624235958;0,0528
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222286"";""ENSP00000222286"")";80;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222374"";""ENSP00000222374"")";126;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222381"";""ENSP00000222381"")";114;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222388"";""ENSP00000222388"")";74;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222567"";""ENSP00000222567"")";153;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222674"";""ENSP00000222674"")";66;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222718"";""ENSP00000222718"")";34;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222726"";""ENSP00000222726"")";37;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222728"";""ENSP00000222728"")";39;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000222747"";""ENSP00000222747"")";162;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223023"";""ENSP00000223023"")";192;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223073"";""ENSP00000223073"")";181;13,0225921521998;0,2579
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223095"";""ENSP00000223095"")";140;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223136"";""ENSP00000223136"")";83;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223167"";""ENSP00000223167"")";51;8,265625;0,133
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223273"";""ENSP00000223273"")";167;9,64265927977839;0,2781
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223324"";""ENSP00000223324"")";40;7,11111111111111;0,1496
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223364"";""ENSP00000223364"")";50;66,5760151186664;0,0058
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223369"";""ENSP00000223369"")";87;161,928102755481;0,0045
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223459"";""ENSP00000223459"")";11;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223642"";""ENSP00000223642"")";221;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223795"";""ENSP00000223795"")";113;7,5625;0,2669
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000223862"";""ENSP00000223862"")";53;6,76;0,2009
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225235"";""ENSP00000225235"")";393;1893,21819851108;4e-04
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225275"";""ENSP00000225275"")";17;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225371"";""ENSP00000225371"")";40;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225387"";""ENSP00000225387"")";28;19,9514589708226;0,0258
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225388"";""ENSP00000225388"")";47;27,3723864381235;0,0287
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225504"";""ENSP00000225504"")";24;0;1
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225519"";""ENSP00000225519"")";189;8,46280991735537;0,315
"=Hyperlink(""https://string-db.org/network/9606.ENSP00000225525"";""ENSP00000225525"")";87;0;1
