"GO ID";"m";"stat";"p"
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001934"";""GO:0001934"")";38137;4460,78807547586;0,1295
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001935"";""GO:0001935"")";4507;127,072735024859;0,733
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001937"";""GO:0001937"")";6637;255,898618592221;0,6514
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001938"";""GO:0001938"")";19740;1698,42651889373;0,2864
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001942"";""GO:0001942"")";6260;968,780169185075;0,0945
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001944"";""GO:0001944"")";1896;413,387813766418;0,0663
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001946"";""GO:0001946"")";2953;350,538517868453;0,1553
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001947"";""GO:0001947"")";8928;660,028562573208;0,3366
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001952"";""GO:0001952"")";3602;249,651255454599;0,3255
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001953"";""GO:0001953"")";3439;470,188295429738;0,1212
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001954"";""GO:0001954"")";11333;825,691341986209;0,3489
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001958"";""GO:0001958"")";5813;488,986737607348;0,2628
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001960"";""GO:0001960"")";1193;584,801403048503;0,023
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001961"";""GO:0001961"")";1372;112,639241484603;0,2468
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001963"";""GO:0001963"")";770;206,821372336087;0,0492
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001964"";""GO:0001964"")";19994;1563,67990098718;0,334
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001967"";""GO:0001967"")";3589;125,475462679226;0,6079
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001974"";""GO:0001974"")";6050;541,536676528876;0,247
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0001975"";""GO:0001975"")";7063;506,435057384716;0,3386
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002003"";""GO:0002003"")";802;25,1160918168764;0,4941
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002009"";""GO:0002009"")";3773;158,043963312499;0,5274
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002011"";""GO:0002011"")";1820;265,318191147311;0,1183
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002024"";""GO:0002024"")";2003;142,797372353855;0,2881
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002026"";""GO:0002026"")";2672;360,466727365594;0,1263
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002027"";""GO:0002027"")";10281;903,289871817612;0,2546
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002028"";""GO:0002028"")";7907;761,468003812535;0,2168
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002031"";""GO:0002031"")";1851;76,6842820156733;0,4764
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002040"";""GO:0002040"")";12614;620,181449855453;0,5976
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002042"";""GO:0002042"")";4656;370,112577316119;0,2853
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002052"";""GO:0002052"")";3665;168,098790050528;0,4926
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002053"";""GO:0002053"")";3084;244,357434700406;0,2737
"=Hyperlink(""https://www.ebi.ac.uk/QuickGO/term/GO:0002062"";""GO:0002062"")";8384;592,822271227257;0,3546
