"Pathway ID";"m";"stat";"p"
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8978868"";""R-HSA-8978868"")";26564;2518,2394438857;0,2461
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9033241"";""R-HSA-9033241"")";7910;602,360314530561;0,3333
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9609507"";""R-HSA-9609507"")";17988;1181,61750117825;0,4591
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-194315"";""R-HSA-194315"")";137383;11760,5717149326;0,31
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-195258"";""R-HSA-195258"")";49907;3911,96846341118;0,3861
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2029480"";""R-HSA-2029480"")";23665;2152,35258650112;0,2861
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2029482"";""R-HSA-2029482"")";14724;1406,66233042303;0,2339
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5663205"";""R-HSA-5663205"")";126687;11169,9325370234;0,2811
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5663213"";""R-HSA-5663213"")";7141;716,651555561179;0,2087
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9012999"";""R-HSA-9012999"")";102606;9011,42944856897;0,2792
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9013149"";""R-HSA-9013149"")";56294;4094,48796308036;0,4542
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9013404"";""R-HSA-9013404"")";24538;1896,31747513939;0,3851
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9013423"";""R-HSA-9013423"")";22662;1594,96881378757;0,4241
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9658195"";""R-HSA-9658195"")";46535;4544,08913737211;0,2277
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9664407"";""R-HSA-9664407"")";15226;1431,35874950293;0,2445
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9664417"";""R-HSA-9664417"")";15226;1431,35874950293;0,246
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9664422"";""R-HSA-9664422"")";15226;1431,35874950293;0,2535
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9716542"";""R-HSA-9716542"")";140097;11887,0642044124;0,3187
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-70171"";""R-HSA-70171"")";9281;722,638361115446;0,3278
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-70326"";""R-HSA-70326"")";11644;927,064227042818;0,3221
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-71387"";""R-HSA-71387"")";56533;4821,04369259967;0,3155
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-397014"";""R-HSA-397014"")";49408;6586,15133133722;0,084
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5576890"";""R-HSA-5576890"")";1815;2544,82638574723;0,0033
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5576891"";""R-HSA-5576891"")";37264;5671,17673625715;0,059
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5576893"";""R-HSA-5576893"")";5341;2679,57258160125;0,0121
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-166016"";""R-HSA-166016"")";23014;2228,48171340862;0,2525
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-166166"";""R-HSA-166166"")";16457;1279,35912591358;0,3301
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-168164"";""R-HSA-168164"")";15935;1271,01344690124;0,3306
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-168898"";""R-HSA-168898"")";25659;2361,59667639499;0,2747
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-168928"";""R-HSA-168928"")";10810;948,42617875693;0,2683
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9013973"";""R-HSA-9013973"")";1087;274,631111946346;0,0599
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-933541"";""R-HSA-933541"")";2365;301,430145816179;0,1391
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-936964"";""R-HSA-936964"")";1668;282,976790958691;0,0986
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-937061"";""R-HSA-937061"")";16457;1279,35912591358;0,3419
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-157118"";""R-HSA-157118"")";34356;3767,99781586173;0,1742
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1632852"";""R-HSA-1632852"")";24444;2336,02272553789;0,249
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1852241"";""R-HSA-1852241"")";49835;3998,74044765537;0,3656
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1980143"";""R-HSA-1980143"")";16751;1358,43220708882;0,3221
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2122947"";""R-HSA-2122947"")";11154;1056,30832978115;0,2366
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2262752"";""R-HSA-2262752"")";92139;12059,5613707747;0,0723
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2644602"";""R-HSA-2644602"")";11724;1273,48759811038;0,191
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2644603"";""R-HSA-2644603"")";11724;1273,48759811038;0,1809
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2644606"";""R-HSA-2644606"")";11724;1273,48759811038;0,1864
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2894858"";""R-HSA-2894858"")";11724;1273,48759811038;0,1912
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-2894862"";""R-HSA-2894862"")";11724;1273,48759811038;0,1906
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-3371511"";""R-HSA-3371511"")";1581;127,599839749573;0,2518
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-3371556"";""R-HSA-3371556"")";14264;1391,53567890582;0,2226
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-350054"";""R-HSA-350054"")";8417;1043,35598683201;0,1453
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-5617833"";""R-HSA-5617833"")";35881;3194,95417238148;0,2822
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8940973"";""R-HSA-8940973"")";4980;191,439262205885;0,6152
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8941326"";""R-HSA-8941326"")";7034;283,783104668713;0,6431
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-8953897"";""R-HSA-8953897"")";93086;12162,4013051073;0,0749
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9612973"";""R-HSA-9612973"")";26008;2501,29870535973;0,242
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9613829"";""R-HSA-9613829"")";2708;349,274989863804;0,1403
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9615710"";""R-HSA-9615710"")";4828;485,210722035665;0,2095
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9646399"";""R-HSA-9646399"")";9068;1009,15320397015;0,1783
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9663891"";""R-HSA-9663891"")";14476;1387,24817872165;0,2399
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1614517"";""R-HSA-1614517"")";420;10,1239669421488;0,4876
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1614558"";""R-HSA-1614558"")";1553;49,0082354991427;0,5563
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1614635"";""R-HSA-1614635"")";3427;160,907363929537;0,4921
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-198933"";""R-HSA-198933"")";12602;1133,14807102912;0,2657
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6805567"";""R-HSA-6805567"")";11216;1266,397074142;0,1769
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1461957"";""R-HSA-1461957"")";2102;37,0611094975781;0,7759
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-1461973"";""R-HSA-1461973"")";2832;102,309768644502;0,5703
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-6803157"";""R-HSA-6803157"")";5684;443,438069648833;0,3107
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-373760"";""R-HSA-373760"")";31080;2355,40678769565;0,4157
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-422475"";""R-HSA-422475"")";131907;14109,1139114177;0,1334
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-9675108"";""R-HSA-9675108"")";138696;14581,6717171693;0,1423
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-157579"";""R-HSA-157579"")";8416;775,73044339669;0,2464
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-174411"";""R-HSA-174411"")";2042;207,694966985655;0,2099
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-174417"";""R-HSA-174417"")";3965;241,537746614514;0,3932
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-174430"";""R-HSA-174430"")";1017;162,241757227915;0,1095
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-180786"";""R-HSA-180786"")";5650;542,347885357304;0,226
"=Hyperlink(""https://reactome.org/content/detail/R-HSA-73886"";""R-HSA-73886"")";11829;1106,20977006945;0,2413
